session,param,ratio,param_value,fixed_point_success,fixed_point_residual_rms,max_real_lambda,leading_lambda_imag,stability_margin,motor_loading_fraction,motor_loading_enrichment,motor_E_loading_fraction,motor_I_loading_fraction,contra_motor_loading_density,ipsi_motor_loading_density,bilateral_motor_loading_density,local_motor_block_max_real_lambda
baseline,w_IE,1.2599210498948732,3.7145099946324787,True,1.9745063671365147e-15,-11.339381955039016,0.0,11.339381955039016,0.14938552950054998,1.0670394964324998,0.14938548458781975,0.14938677182357843,0.010915337773298258,0.010670394964314331,0.010792866368806293,-11.541367221099282
baseline,w_IE,1.5874010519681994,4.679989332282352,True,2.1128438575141525e-15,-10.721775976636913,0.0,10.721775976636913,0.1496868359186903,1.0691916851335022,0.14968682867915017,0.14968704222411336,0.010952861508408903,0.010691916851324328,0.010822389179866616,-10.803145632356507
baseline,w_IE,1.9999999999999998,5.896417073025987,True,1.928396910470951e-12,-10.28256480302728,0.0,10.28256480302728,0.14990037983554708,1.0707169988253362,0.14990037921494254,0.1499003977930048,0.010981065755986489,0.010707169988242655,0.010844117872114572,-10.306611580344425
baseline,w_IE,2.5198420997897464,7.429019989264957,True,2.2080212224127407e-15,-10.07362828037765,0.0,10.07362828037765,0.15000249375104613,1.0714463839360437,0.15000249372699997,0.15000249444226513,0.010995076538455646,0.01071446383934972,0.010854770188902683,-10.078399824616687
baseline,w_IE,3.1748021039363983,9.359978664564702,True,1.0976685764562725e-11,-10.011616886236533,0.0,10.011616886236533,0.15003298533330398,1.0716641809521712,0.15003298533280499,0.15003298533880446,0.010999328988136199,0.010716641809510994,0.010857985398823596,-10.01219495832688
baseline,w_IE,4.0,11.792834146051975,True,1.4551499463828863e-09,-10.000987246833445,0.0,10.000987246833445,0.15003823555481335,1.071701682534381,0.15003823555465673,0.15003823555033022,0.01100006437823181,0.010717016825333095,0.010858540601782454,-10.001025240567396
followup6w,G,0.25,0.0553267730625588,True,2.1808748155042046e-15,-9.571839326301662,0.0,9.571839326301662,0.15012079684856514,1.0722914060611795,0.15012078357642322,0.15012659070613146,0.011010582275213435,0.010722914060601076,0.010866748167907253,-9.922958839541062
followup6w,G,0.3149802624737183,0.06970736600427448,True,2.630080619041315e-15,-9.401393417889865,0.0,9.401393417889865,0.15020021956864188,1.0728587112045846,0.15020020237859652,0.15020772428548643,0.011020898218402237,0.01072858711203512,0.010874742665218678,-9.850776797682885
followup6w,G,0.39685026299204984,0.08782577776151168,True,2.4757102182557955e-15,-9.178851008962916,0.0,9.178851008962916,0.15030721251229887,1.0736229465164204,0.15030719004028056,0.15031702350177067,0.011034563164200355,0.010736229465153473,0.010885396314676913,-9.756774182701342
followup6w,G,0.5,0.1106535461251176,True,2.346250895314014e-15,-8.884868088697985,0.0,8.884868088697985,0.15045439537473929,1.074674252676709,0.15045436560229825,0.15046739278294868,0.011052963548524421,0.010746742526756345,0.010899853037640383,-9.633032261302954
